DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,Magnitude,Magnitude Scale,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1990-0090-BGD,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,BGD,Bangladesh,Southern Asia,Asia,"Manikganj, Siranjganj, Chandpur districts",,,No,No,No,,Kph,,1990,5.0,2.0,1990,5.0,2.0,19.0,500.0,4000.0,,4500.0,,,42.8807321894041,,2003-07-01,2024-08-29
1990-0095-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Habiganj district, Noakhali District (North Eastern)",Heavy rain,,No,No,No,,Km2,Khowai River,1990,3.0,24.0,1990,3.0,30.0,166.0,1600.0,10000.0,,11600.0,,,42.8807321894041,,2005-12-21,2023-09-25
1990-0096-BGD,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,BGD,Bangladesh,Southern Asia,Asia,South East,,,No,No,No,,Kph,,1990,4.0,22.0,1990,4.0,22.0,54.0,200.0,40000.0,,40200.0,,,42.8807321894041,,2005-12-06,2023-09-25
1990-0421-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,Golfe du Bengale,,,No,No,No,,Kph,,1990,12.0,21.0,1990,12.0,21.0,250.0,,,,,,,42.8807321894041,,2003-07-01,2023-09-25
1990-0424-BGD,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,,,,No,No,No,,°C,,1990,12.0,29.0,1990,12.0,29.0,67.0,,,,,,,42.8807321894041,,2003-07-01,2023-09-25
1990-0576-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Ofa,BGD,Bangladesh,Southern Asia,Asia,Chittagong,,,No,No,No,,Kph,,1990,10.0,8.0,1990,10.0,8.0,370.0,,13870.0,,13870.0,,,42.8807321894041,,2003-07-01,2023-09-25
1990-0609-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Rajshabi division, Sirajganj, Jamalpur, Bogra, Pabna",Heavy rain,,No,No,No,23610.0,Km2,"Jamuna (Brahmaputra) River, Padma (Ganges) River, Mahananda, Pagla and Punarbhaba Rivers",1990,7.0,14.0,1990,9.0,6.0,65.0,,2000000.0,,2000000.0,6000.0,13992.0,42.8807321894041,,2006-07-19,2023-09-25
1990-0706-BGD,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,,,,No,No,No,,°C,,1990,1.0,1.0,1990,1.0,1.0,50.0,,,,,,,42.8807321894041,,2005-12-06,2023-09-25
1991-0086-BGD,Yes,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,BGD,Bangladesh,Southern Asia,Asia,Patueklali (Barisal division),,,No,No,No,,Vaccinated,,1991,4.0,,1991,4.0,,1000.0,,1500000.0,,1500000.0,,,44.6967218406791,,2003-07-01,2023-09-25
1991-0120-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Gorky (02B),BGD,Bangladesh,Southern Asia,Asia,"Cox's Bazar, Chittagong, Patuakhali, Noakhali, Bhola, Barguna",,Flood,Yes,No,No,21360.0,Kph,,1991,4.0,29.0,1991,5.0,10.0,138866.0,138849.0,15000000.0,300000.0,15438849.0,1780000.0,3982395.0,44.6967218406791,,2007-08-08,2023-09-25
1991-0170-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,Rajskabi division,,,No,No,No,,Km2,,1991,7.0,,1991,7.0,,,,1590000.0,,1590000.0,,,44.6967218406791,,2003-07-01,2023-09-25
1991-0224-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,Rangpur,Monsoonal rain,,No,No,No,,Km2,,1991,9.0,2.0,1991,9.0,10.0,65.0,,,200000.0,200000.0,150000.0,335595.0,44.6967218406791,,2006-01-08,2023-09-25
1991-0332-BGD,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,BGD,Bangladesh,Southern Asia,Asia,"Ghorasal, Tungi, Sirajganj",,,No,No,No,,Kph,,1991,5.0,7.0,1991,5.0,7.0,121.0,300.0,,,300.0,,,44.6967218406791,,2003-07-01,2023-09-25
1991-0357-BGD,Yes,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,BGD,Bangladesh,Southern Asia,Asia,North Bangladesh,,,No,No,No,,Vaccinated,,1991,9.0,,1991,9.0,,1700.0,,108000.0,,108000.0,,,44.6967218406791,,2003-07-01,2023-09-25
1991-0433-BGD,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,West and North Bangladesh,,,No,No,No,-7.0,°C,,1991,12.0,24.0,1992,1.0,6.0,182.0,,,,,,,44.6967218406791,,2006-01-08,2023-09-25
1991-0764-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,Sylhet district,Heavy rain,,No,No,No,,Km2,"Surma, Kushiara",1991,5.0,14.0,1991,5.0,26.0,200.0,,1200000.0,,1200000.0,,,44.6967218406791,,2005-11-28,2023-09-25
1992-0175-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,,,,No,No,No,,Kph,,1992,1.0,31.0,1992,2.0,1.0,7.0,200.0,,10000.0,10200.0,,,46.0505037069189,,2006-01-03,2023-09-25
1992-0190-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Kishoreganj, Brahmambaria districts",,,No,No,No,,Km2,,1992,4.0,18.0,1992,4.0,18.0,15.0,200.0,,,200.0,,,46.0505037069189,,2006-01-06,2023-09-25
1992-0192-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,North,,,No,No,No,,Kph,,1992,4.0,22.0,1992,4.0,22.0,16.0,100.0,,,100.0,,,46.0505037069189,,2006-01-06,2023-09-25
1992-0213-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Maheskali, Chittagong, Cox's Bazaar districts",Monsoonal rain,,No,No,No,,Km2,,1992,6.0,22.0,1992,6.0,26.0,2.0,,,45000.0,45000.0,,,46.0505037069189,,2006-01-06,2023-09-25
1992-0289-BGD,Yes,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,BGD,Bangladesh,Southern Asia,Asia,North,,,No,No,No,,Vaccinated,,1992,4.0,,1992,4.0,,200.0,,,,,,,46.0505037069189,,2003-07-01,2023-09-25
1992-0293-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,North-East,,,No,No,No,,Km2,,1992,7.0,11.0,1992,7.0,11.0,,,,30000.0,30000.0,,,46.0505037069189,,2006-01-06,2023-09-25
1993-0001-BGD,Yes,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,BGD,Bangladesh,Southern Asia,Asia,"Bogra, Noagaon, Sunamganj, Sylhet, Tangail, Jamalpur",,,No,No,No,,Kph,,1993,1.0,12.0,1993,1.0,12.0,31.0,2000.0,750000.0,,752000.0,,,47.4097539688651,,2003-07-01,2023-09-25
1993-0028-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Habiganj, Sylhet, Sunamganj, Zakiganj, Moulavibazar, Feni, Chittagong, Cox's Bazar districts",Monsoonal rain,,No,No,No,607.0,Km2,"Brahmaputra-Meghna, Khowai, Manu, Dhalai, Kushyara, Surma",1993,6.0,4.0,1993,6.0,22.0,28.0,,3207056.0,,3207056.0,,,47.4097539688651,,2005-11-14,2023-09-25
1993-0029-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Begumgang, Thana Unions",,,No,No,No,160.0,Kph,,1993,5.0,13.0,1993,5.0,13.0,14.0,,7500.0,,7500.0,,,47.4097539688651,,2003-07-01,2023-09-25
1993-0045-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Bogra, Sirajganj, Netrokona, Pabna, Sirajganj, Sylhet, Brahmanbaria, Hobiganj, Cox's Bazar, Feni, Comilla, Khagrachari, Bandarban, Rangamati, Maulvibazar, Habiganj and Sunamganj districts (Chittagong Region)",Monssonal rain,,No,No,No,,Km2,Northeastern Meghna River Basin and Southeastern Hill Basin,1993,7.0,1.0,1993,8.0,31.0,162.0,,11469537.0,,11469537.0,,,47.4097539688651,,2005-12-02,2023-09-25
1993-0046-BGD,Yes,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,BGD,Bangladesh,Southern Asia,Asia,"Banderban, Sylhet, Brahmanbaria, Hobiganj, Moulvi Bazar, Sunamganj, Cox's Bazar, Feni, Comilla, Pabna, Sirajganj, Chittagong, Chittagong Hill districts",,,No,No,No,,Vaccinated,,1993,8.0,,1993,8.0,,38.0,,5660.0,,5660.0,,,47.4097539688651,,2003-07-01,2023-09-25
1993-0120-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,North-East,,,No,No,No,,Kph,,1993,2.0,19.0,1993,2.0,19.0,8.0,500.0,,70000.0,70500.0,,,47.4097539688651,,2003-07-01,2023-09-25
1993-0135-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,"Bhola, Barisal districts",,,No,No,No,97.0,Kph,,1993,3.0,27.0,1993,3.0,27.0,300.0,200.0,,25000.0,25200.0,,,47.4097539688651,,2003-07-01,2023-09-25
1993-0154-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,North Dhaka,,,No,No,No,56.0,Kph,,1993,5.0,7.0,1993,5.0,7.0,9.0,250.0,,3000.0,3250.0,,,47.4097539688651,,2003-07-01,2023-09-25
1993-0160-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,Comilla area,,,No,No,No,100.0,Kph,,1993,5.0,17.0,1993,5.0,17.0,25.0,2000.0,,5000.0,7000.0,,,47.4097539688651,,2003-07-01,2023-09-25
1993-0196-BGD,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BGD,Bangladesh,Southern Asia,Asia,"Chittagong, Dhaka",,,No,No,No,,Km2,,1993,8.0,21.0,1993,8.0,21.0,4.0,20.0,1000000.0,75000.0,1075020.0,,,47.4097539688651,,2003-07-01,2023-09-25
1993-0240-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,Sylhet,,,No,No,No,161.0,Kph,,1993,1.0,9.0,1993,1.0,9.0,50.0,500.0,,2000.0,2500.0,,,47.4097539688651,,2003-07-01,2023-09-25
1993-0241-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,"Naogaon, Dhaka",,,No,No,No,,Kph,,1993,5.0,9.0,1993,5.0,9.0,15.0,70.0,,,70.0,,,47.4097539688651,,2003-07-01,2023-09-25
1994-0044-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"St. Martins, Teknaf Upazila, Ukhia Upazila ( Near Cox's Bazar), Kutubdia Isl., Moheskhali Isl., Bandarban",,,No,No,No,220.0,Kph,,1994,5.0,2.0,1994,5.0,2.0,130.0,3559.0,450000.0,200000.0,653559.0,125000.0,256959.0,48.6459381021166,,2003-07-01,2023-09-25
1994-0087-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Mymensingh, Chittagong (North-East and Southern Bangladesh)",,,No,No,No,120.0,Kph,,1994,3.0,28.0,1994,3.0,28.0,40.0,150.0,,,150.0,2500.0,5139.0,48.6459381021166,,2003-07-01,2023-09-25
1994-0092-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,"Pirojpur, Barguna, Barisal, Patuakhali districts",,,No,No,No,,Kph,,1994,4.0,19.0,1994,4.0,19.0,20.0,200.0,,5000.0,5200.0,,,48.6459381021166,,2003-07-01,2023-09-25
1994-0122-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,North,,,No,No,No,100.0,Kph,,1994,5.0,18.0,1994,5.0,18.0,15.0,100.0,,,100.0,,,48.6459381021166,,2003-07-01,2023-09-25
1994-0131-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,Sylhet district,Monsoonal rain,,No,No,No,,Km2,Randpani,1994,6.0,1.0,1994,6.0,3.0,3.0,,25000.0,,25000.0,,,48.6459381021166,,2005-11-04,2023-09-25
1994-0193-BGD,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BGD,Bangladesh,Southern Asia,Asia,"Chapainawabganj, Rajshahi",,,No,No,No,,Km2,,1994,8.0,19.0,1994,8.0,19.0,40.0,,300000.0,70000.0,370000.0,,,48.6459381021166,,2003-07-01,2023-09-25
1994-0612-BGD,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,North and Northwestern districts,,,No,No,No,,°C,,1994,2.0,,1994,2.0,,29.0,,,,,,,48.6459381021166,,2003-07-01,2023-09-25
1994-0754-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,Barisal district and Southern Bangladesh,,,No,No,No,,Km2,,1994,4.0,19.0,1994,4.0,19.0,61.0,,,,,,,48.6459381021166,,2003-07-01,2023-09-25
1994-0755-BGD,Yes,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,BGD,Bangladesh,Southern Asia,Asia,North,,,No,No,No,,Km2,,1994,5.0,19.0,1994,5.0,19.0,12.0,,100.0,,100.0,,,48.6459381021166,,2003-07-01,2023-09-25
1995-0001-BGD,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,"Rajshahi, Rangpur, Pabna, Dinajpur",,,No,No,No,-4.0,°C,,1995,1.0,,1995,1.0,,120.0,,,,,,,50.0106567597694,,2003-07-01,2023-09-25
1995-0051-BGD,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,BGD,Bangladesh,Southern Asia,Asia,"Chittagong, Madaripur, Munshiganj districts",,,No,No,No,160.0,Kph,,1995,4.0,12.0,1995,4.0,12.0,50.0,1500.0,,50000.0,51500.0,,,50.0106567597694,,2007-08-24,2023-09-25
1995-0067-BGD,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,BGD,Bangladesh,Southern Asia,Asia,Chittagong,,,No,No,No,160.0,Kph,,1995,4.0,12.0,1995,4.0,12.0,6.0,70.0,,2000.0,2070.0,,,50.0106567597694,,2007-08-24,2023-09-25
1995-0082-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,"Cox's Bazar, Teknaf, Barguna, Bagerhat, Manpura, Char Nizam, Hatiya, Sadwip, Bhola, Noakhali, Patuakhali, Chittagong",,,Yes,No,No,96.0,Kph,,1995,5.0,15.0,1995,5.0,15.0,525.0,,2000000.0,70000.0,2070000.0,800000.0,1599659.0,50.0106567597694,,2003-07-01,2023-09-25
1995-0088-BGD,Yes,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,BGD,Bangladesh,Southern Asia,Asia,Noakhali district,,,No,No,No,,Vaccinated,,1995,5.0,,1995,5.0,,50.0,,1236.0,,1236.0,,,50.0106567597694,,2003-07-01,2023-09-25
1995-0100-BGD,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BGD,Bangladesh,Southern Asia,Asia,"Sylhet, Moulvibazar, Sunamganj, Netrokona, Sirajganj, Gaibandha, Jamalpur, Pabna, Kurigram, Rangpur, Madaripur, Feni, Panchagarh, Lalmonirhat, Tangail, Gopalganj, Satkhira, Bogra",,"Slide (land, mud, snow, rock)",No,No,No,68350.0,Km2,"Brahmaputra, Surma, Manu, Gorai",1995,6.0,16.0,1995,6.0,23.0,250.0,,12656006.0,,12656006.0,200000.0,399915.0,50.0106567597694,,2006-07-11,2023-09-25
1995-0101-BGD,Yes,nat-hyd-flo-coa,Natural,Hydrological,Flood,Coastal flood,,,BGD,Bangladesh,Southern Asia,Asia,"Chittagong, Bhola, Coxbazar, Bagerhat, Hatiya, Noakhali, Patuakhali",,,No,No,No,44.0,Km2,,1995,5.0,15.0,1995,5.0,15.0,50.0,,351325.0,110000.0,461325.0,,,50.0106567597694,,2003-07-01,2023-09-25
1995-0243-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Dinajpur, Panchagar, Rangpur, Nilpamari, Joipurhat, Gaibanda, Natore, Naogaon, Bogra districts",Monsoonal rain,,No,No,No,16082.0,Km2,Tista,1995,9.0,29.0,1995,10.0,16.0,400.0,,1000000.0,250000.0,1250000.0,175000.0,349925.0,50.0106567597694,,2006-07-11,2023-09-25
1995-0281-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,Gulf of Bengale,,,No,No,No,100.0,Kph,,1995,11.0,25.0,1995,11.0,25.0,172.0,,250000.0,,250000.0,,,50.0106567597694,,2003-07-01,2023-09-25
1995-0407-BGD,Yes,nat-bio-epi-par,Natural,Biological,Epidemic,Parasitic disease,,,BGD,Bangladesh,Southern Asia,Asia,"Sunamganj, Chittagong and Cox's Bazar",,,No,No,No,,Vaccinated,,1995,3.0,,1995,3.0,,350.0,,20000.0,,20000.0,,,50.0106567597694,,2003-07-01,2023-09-25
1995-0487-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Chittagong, Khulna, Dhaka, Barisal",Heavy rain,Tsunami/Tidal wave,No,No,No,61220.0,Km2,Halda,1995,5.0,17.0,1995,5.0,24.0,41.0,,351000.0,,351000.0,300.0,600.0,50.0106567597694,,2006-07-11,2023-09-25
1996-0013-BGD,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,"Gaibandha, Dinajpur, Rangpur, Nilphamari",,,No,No,No,4.0,°C,,1996,1.0,,1996,1.0,,200.0,,,,,,,51.4765757419477,,2005-04-21,2023-09-25
1996-0035-BGD,Yes,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,BGD,Bangladesh,Southern Asia,Asia,Kurigram District,,,No,No,No,,Vaccinated,,1996,7.0,,1996,7.0,,20.0,,10000.0,,10000.0,,,51.4765757419477,,2005-04-21,2023-09-25
1996-0086-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Gopalpur, Basail, Kalihati, Shokipur, Mirzapur, Ghatail (Tangail district), Thanas of Madarganj, Bakhiganj, Sarishabari (Jamalpur district)",,,No,No,No,153.0,Kph,,1996,5.0,12.0,1996,5.0,14.0,525.0,35691.0,82600.0,,118291.0,,,51.4765757419477,,2005-12-02,2023-09-25
1996-0104-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Kurigram, Gaibandha, Bogra, Sirajganj, Tangail, Pabna, Manikanj, Munshiganj, Dhaka, Dhaka city, Narayangani, Shariatpur, Madaripur, Gopalganj, Rajbari, Faridpur, Lalmonirat, Nilhamari",Monsoonal rain,,No,No,No,69100.0,Km2,"Brahmaputra, Ganges, Meghna, Buriganga",1996,7.0,19.0,1996,8.0,2.0,33.0,,5663319.0,,5663319.0,10000.0,19426.0,51.4765757419477,,2007-08-27,2023-09-25
1996-0170-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,Bay Of Bengal,,,No,No,No,,Kph,,1996,7.0,27.0,1996,7.0,27.0,60.0,,,,,,,51.4765757419477,,2003-07-01,2023-09-25
1996-0196-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Rajshai, Padma",Heavy rains,,No,No,No,,Km2,"Chapainawabganj, Dinajpur, Sherpur rivers",1996,8.0,26.0,1996,9.0,7.0,22.0,,165000.0,,165000.0,,,51.4765757419477,,2005-04-21,2023-09-25
1996-0350-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,Gowriganga River,,,No,No,No,,Kph,,1996,4.0,23.0,1996,4.0,23.0,17.0,300.0,,,300.0,,,51.4765757419477,,2003-07-01,2023-09-25
1996-0351-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Chittagong, Patuakhali, Pirojpur",,,No,No,No,65.0,Kph,,1996,10.0,29.0,1996,10.0,29.0,24.0,100.0,,,100.0,,,51.4765757419477,,2003-07-01,2023-09-25
1997-0114-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,One Bravo (01B),BGD,Bangladesh,Southern Asia,Asia,"Banshkali, Anowara (Chittagong district), Cox's Bazar, Teknaf, Chokoria, Moheshkali, Kutubdia (Cox's Bazar district)",,,Yes,No,No,250.0,Kph,,1997,5.0,18.0,1997,5.0,18.0,111.0,10000.0,2042738.0,1000000.0,3052738.0,,,52.6799339436467,,2003-07-01,2023-09-25
1997-0133-BGD,Yes,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,BGD,Bangladesh,Southern Asia,Asia,Chittagong,,,No,No,No,,Vaccinated,,1997,5.0,31.0,1997,5.0,31.0,64.0,,14330.0,,14330.0,,,52.6799339436467,,2003-07-01,2023-09-25
1997-0164-BGD,Yes,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,BGD,Bangladesh,Southern Asia,Asia,"North, Central North",,,No,No,No,1200.0,Km2,,1997,7.0,13.0,1997,7.0,13.0,79.0,30.0,800000.0,100000.0,900030.0,229000.0,434701.0,52.6799339436467,,2003-07-01,2023-09-25
1997-0235-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,2 B,BGD,Bangladesh,Southern Asia,Asia,"Bhola, Noakhali, Bagerhat, Khulna, Potuakhali, Sitakundu districts",,,No,No,No,150.0,Kph,,1997,9.0,26.0,1997,9.0,27.0,188.0,63.0,750000.0,,750063.0,,,52.6799339436467,,2006-07-09,2023-09-25
1997-0258-BGD,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,BGD,Bangladesh,Southern Asia,Asia,Tongi Dis. - 1st level = Dhaka,,,No,No,No,75.0,Kph,,1997,10.0,12.0,1997,10.0,12.0,15.0,500.0,,,500.0,,,52.6799339436467,,2003-07-01,2023-09-25
1997-0281-BGD,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,BGD,Bangladesh,Southern Asia,Asia,Chittagong,,,No,No,No,5.9,Moment Magnitude,,1997,11.0,22.0,1997,11.0,22.0,23.0,200.0,,,200.0,,,52.6799339436467,,2004-03-25,2023-09-25
1997-0316-BGD,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,Dinajpur (level 2) Level 1 = Rajshahi,,,No,No,No,,°C,,1997,1.0,21.0,1997,1.0,21.0,33.0,,,,,,,52.6799339436467,,2003-07-01,2023-09-25
1997-0321-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,Bay Of Bengal Level 1 = Chittagong,,,No,No,No,,Kph,,1997,3.0,23.0,1997,3.0,23.0,11.0,101.0,,,101.0,,,52.6799339436467,,2003-07-01,2023-09-25
1997-0353-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,Cox's Bazar (level 2) Level 1 = Chittagong,,,No,No,No,,Kph,,1997,8.0,27.0,1997,8.0,27.0,100.0,,,,,,,52.6799339436467,,2003-07-01,2023-09-25
1998-0002-BGD,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,"Jessore, Rajshahi, Khulna",,,No,No,No,6.2,°C,,1998,1.0,9.0,1998,1.0,9.0,120.0,,34000.0,,34000.0,,,53.4976807934852,,2008-01-30,2023-09-25
1998-0101-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,Chittagong,,,No,No,No,100.0,Kph,,1998,4.0,23.0,1998,4.0,23.0,14.0,200.0,,,200.0,,,53.4976807934852,,2003-07-01,2023-09-25
1998-0164-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,01B,BGD,Bangladesh,Southern Asia,Asia,"Chittagong, Cox's Bazar, Sitakundu",,,No,No,No,150.0,Kph,,1998,5.0,20.0,1998,5.0,20.0,19.0,504.0,108440.0,,108944.0,,,53.4976807934852,,2003-07-01,2023-09-25
1998-0203-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Mymensingh, Jamalpur, Sherpur, Hobiganj, Rangpur, Sirajangj, Manikganj, Pabna, Rajbari, Rajshahi, Kurigram, Faridpur, Nilphamari, Gaibandha, Lalmonirhat, Khagrachari, Chitagong, Feni, Comilla, Cox's Bazar, Tangail, Natore districts",Monsoonal rain,,Yes,No,No,91120.0,Km2,,1998,7.0,5.0,1998,9.0,22.0,1050.0,50.0,15000000.0,,15000050.0,4300000.0,8037732.0,53.4976807934852,,2008-01-03,2023-09-25
1998-0246-BGD,Yes,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,BGD,Bangladesh,Southern Asia,Asia,Dhaka,Flood,,No,No,No,,Vaccinated,,1998,7.0,8.0,1998,9.0,30.0,151.0,,185000.0,,185000.0,,,53.4976807934852,,2005-06-10,2023-09-25
